SEED-AM: Derivation table for accounting indicator


MANDT	 MTPOS_CONT	 DISMM_CONT	 MATKL_CONT	 MTPOS_EXEC	 DISMM_EXEC	 MATKL_EXEC	 VTWEG	 SERV_CONTR_CHE	 WARR_CHECK	 BEMOT	 Z_BEMOT_PC_PROD	 Z_BEMOT_CC_PROD	 Z_BEMOT_CC_SERV
X	 X	 X	 X	 X	 X	 X	 X	 	 	 	 	 	
MANDT-CLNT(3)	 MTPOS-CHAR(4)	 DISMM-CHAR(2)	 MATKL-CHAR(9)	 MTPOS-CHAR(4)	 DISMM-CHAR(2)	 MATKL-CHAR(9)	 VTWEG-CHAR(2)	 XCHAR-CHAR(1)	 XCHAR-CHAR(1)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)
100	 ZS04	 Z4	 044ZCC	 ZS03	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZCC	 ZS03	 Z3	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZIP	 ZS02	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZIP	 ZS02	 Z3	 	 11	 	 	 1E	 	 	
100	 ZS04	 Z4	 044ZIP	 ZS03	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZIP	 ZS03	 Z3	 	 11	 	 	 1E	 	 	
100	 ZS04	 Z4	 044ZPM	 ZS02	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZPM	 ZS02	 Z3	 	 11	 	 	 1E	 	 	
100	 ZS04	 Z4	 044ZPM	 ZS03	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZPM	 ZS03	 Z3	 	 11	 	 	 1E	 	 	
100	 ZS04	 Z4	 044ZPP	 ZS02	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZPP	 ZS02	 Z3	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZPP	 ZS03	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZPP	 ZS03	 Z3	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZTR	 ZS02	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZTR	 ZS02	 Z3	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZTR	 ZS03	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZTR	 ZS03	 Z3	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZXT	 ZS02	 Z2	 	 11	 	 	 1C	 	 	
100	 ZS04	 Z4	 044ZXT	 ZS03	 Z2	 	 11	 	 	 1C	 	 	
